 INFO  Accepting connections at http://localhost:3000
 HTTP  27/5/2026 22:38:35 ::1 GET /metodologia/__next._index.txt?_rsc=nn07o
 HTTP  27/5/2026 22:38:35 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 22:38:35 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 22:38:35 ::1 GET /metodologia/__next.metodologia.txt?_rsc=1rhrz
 HTTP  27/5/2026 22:38:35 ::1 GET /metodologia/__next.metodologia.__PAGE__.txt?_rsc=58gx8
 HTTP  27/5/2026 22:38:35 ::1 Returned 200 in 4 ms
 HTTP  27/5/2026 22:38:35 ::1 Returned 404 in 5 ms
 HTTP  27/5/2026 22:38:35 ::1 GET /directorio/__next._head.txt?_rsc=1pn8p
 HTTP  27/5/2026 22:38:35 ::1 GET /directorio/__next.directorio.txt?_rsc=1luws
 HTTP  27/5/2026 22:38:35 ::1 GET /directorio/__next.directorio.__PAGE__.txt?_rsc=43fvg
 HTTP  27/5/2026 22:38:35 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 22:38:35 ::1 Returned 200 in 2 ms
 HTTP  27/5/2026 22:38:35 ::1 GET /contacto/__next._head.txt?_rsc=1pn8p
 HTTP  27/5/2026 22:38:35 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:38:35 ::1 Returned 200 in 2 ms
 HTTP  27/5/2026 22:38:35 ::1 GET /contacto/__next.contacto.txt?_rsc=i95pq
 HTTP  27/5/2026 22:38:35 ::1 GET /contacto/__next.contacto.__PAGE__.txt?_rsc=uus2n
 HTTP  27/5/2026 22:38:35 ::1 Returned 200 in 4 ms
 HTTP  27/5/2026 22:38:35 ::1 Returned 404 in 4 ms
 HTTP  27/5/2026 22:38:35 ::1 GET /__next._head.txt?_rsc=1pn8p
 HTTP  27/5/2026 22:38:35 ::1 GET /__next.__PAGE__.txt?_rsc=ivliq
 HTTP  27/5/2026 22:38:35 ::1 Returned 200 in 2 ms
 HTTP  27/5/2026 22:38:35 ::1 Returned 200 in 2 ms
 HTTP  27/5/2026 22:38:38 ::1 GET /directorio.txt?_rsc=tz5um
 HTTP  27/5/2026 22:38:38 ::1 Returned 200 in 4 ms
 HTTP  27/5/2026 22:38:38 ::1 GET /_next/static/chunks/6d84db9948d8cc7f.js
 HTTP  27/5/2026 22:38:38 ::1 GET /_next/static/chunks/0a3a06578da005bb.js
 HTTP  27/5/2026 22:38:38 ::1 Returned 200 in 2 ms
 HTTP  27/5/2026 22:38:38 ::1 Returned 200 in 2 ms
 HTTP  27/5/2026 22:38:38 ::1 GET /_next/static/chunks/6d84db9948d8cc7f.js
 HTTP  27/5/2026 22:38:38 ::1 GET /_next/static/chunks/0a3a06578da005bb.js
 HTTP  27/5/2026 22:38:38 ::1 Returned 304 in 1 ms
 HTTP  27/5/2026 22:38:38 ::1 Returned 304 in 1 ms
 HTTP  27/5/2026 22:38:39 ::1 GET /img/moodboard-1.jpg
 HTTP  27/5/2026 22:38:39 ::1 GET /img/moodboard-3.jpg
 HTTP  27/5/2026 22:38:39 ::1 Returned 200 in 4 ms
 HTTP  27/5/2026 22:38:39 ::1 Returned 200 in 11 ms
 HTTP  27/5/2026 22:38:39 ::1 HEAD /marca/91a25f22-1c2c-458e-89d6-620b9e03c112
 HTTP  27/5/2026 22:38:39 ::1 HEAD /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7
 HTTP  27/5/2026 22:38:39 ::1 HEAD /marca/e6c897ed-ee38-46de-8d25-31025320dbbe
 HTTP  27/5/2026 22:38:39 ::1 Returned 200 in 2 ms
 HTTP  27/5/2026 22:38:39 ::1 Returned 200 in 2 ms
 HTTP  27/5/2026 22:38:39 ::1 Returned 200 in 6 ms
 HTTP  27/5/2026 22:38:39 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7/__next._tree.txt?_rsc=19sbd
 HTTP  27/5/2026 22:38:39 ::1 GET /marca/91a25f22-1c2c-458e-89d6-620b9e03c112/__next._tree.txt?_rsc=19sbd
 HTTP  27/5/2026 22:38:39 ::1 GET /marca/e6c897ed-ee38-46de-8d25-31025320dbbe/__next._tree.txt?_rsc=19sbd
 HTTP  27/5/2026 22:38:39 ::1 Returned 200 in 2 ms
 HTTP  27/5/2026 22:38:39 ::1 Returned 200 in 2 ms
 HTTP  27/5/2026 22:38:39 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 22:38:39 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7/__next._head.txt?_rsc=e3hof
 HTTP  27/5/2026 22:38:39 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7/__next.marca.txt?_rsc=1yyzm
 HTTP  27/5/2026 22:38:39 ::1 GET /marca/91a25f22-1c2c-458e-89d6-620b9e03c112/__next._head.txt?_rsc=e3hof
 HTTP  27/5/2026 22:38:39 ::1 GET /marca/91a25f22-1c2c-458e-89d6-620b9e03c112/__next.marca.$d$id.txt?_rsc=1y0i0
 HTTP  27/5/2026 22:38:39 ::1 Returned 200 in 4 ms
 HTTP  27/5/2026 22:38:39 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 22:38:39 ::1 Returned 200 in 4 ms
 HTTP  27/5/2026 22:38:39 ::1 Returned 404 in 4 ms
 HTTP  27/5/2026 22:38:39 ::1 GET /marca/91a25f22-1c2c-458e-89d6-620b9e03c112/__next.marca.$d$id.__PAGE__.txt?_rsc=1a7br
 HTTP  27/5/2026 22:38:39 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7/__next.marca.$d$id.txt?_rsc=1y0i0
 HTTP  27/5/2026 22:38:39 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7/__next.marca.$d$id.__PAGE__.txt?_rsc=1a7br
 HTTP  27/5/2026 22:38:39 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:38:39 ::1 GET /marca/e6c897ed-ee38-46de-8d25-31025320dbbe/__next._head.txt?_rsc=e3hof
 HTTP  27/5/2026 22:38:39 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:38:39 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:38:39 ::1 Returned 200 in 1 ms
 HTTP  27/5/2026 22:38:39 ::1 GET /marca/e6c897ed-ee38-46de-8d25-31025320dbbe/__next.marca.$d$id.txt?_rsc=1y0i0
 HTTP  27/5/2026 22:38:39 ::1 GET /marca/e6c897ed-ee38-46de-8d25-31025320dbbe/__next.marca.$d$id.__PAGE__.txt?_rsc=1a7br
 HTTP  27/5/2026 22:38:39 ::1 Returned 404 in 6 ms
 HTTP  27/5/2026 22:38:39 ::1 Returned 404 in 5 ms
